date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/21,2330,新加坡商瑞銀,1650,3388,1258,2130,12.36,1,buy
8/21,2330,富邦-新竹,9647,16,441,-425,2.47,1,sell
8/21,2330,大和國泰,8890,1220,2,1218,7.07,2,buy
8/21,2330,花旗環球,1590,587,926,-339,1.97,2,sell
8/21,2330,永豐金-匯立,0039004100380031,1199,138,1061,6.16,3,buy
8/21,2330,摩根大通,8440,1229,1527,-298,1.73,3,sell
8/21,2330,元大證券,9800,952,355,597,3.47,4,buy
8/21,2330,兆豐-新竹,0037003000300056,1,256,-255,1.48,4,sell
8/21,2330,香港上海匯豐,8960,546,49,497,2.89,5,buy
8/21,2330,凱基,9200,98,346,-248,1.44,5,sell
8/21,2330,港商麥格理,1360,659,181,478,2.77,6,buy
8/21,2330,美林,1440,1003,1192,-189,1.1,6,sell
8/21,2330,美商高盛,1480,863,507,356,2.07,7,buy
8/21,2330,國泰-敦南,8888,51,238,-187,1.09,7,sell
8/21,2330,台灣摩根士丹利,1470,986,677,309,1.79,8,buy
8/21,2330,(牛牛牛)亞證券,6010,29,201,-172,1.0,8,sell
8/21,2330,港商野村,1560,429,141,288,1.67,9,buy
8/21,2330,群益金鼎,9100,44,155,-111,0.64,9,sell
8/21,2330,凱基-台北,9268,547,316,231,1.34,10,buy
8/21,2330,元大-羅東,0039003800320041,0,88,-88,0.51,10,sell
8/21,2330,兆豐證券,7000,219,13,206,1.2,11,buy
8/21,2330,元大-復北,9872,2,80,-78,0.45,11,sell
8/21,2330,統一,5850,158,76,82,0.48,12,buy
8/21,2330,台新,0039004200300030,32,101,-69,0.4,12,sell
8/21,2330,華南永昌,9300,108,50,58,0.34,13,buy
8/21,2330,凱基-三多,9275,8,74,-66,0.38,13,sell
8/21,2330,華南永昌-世貿,9334,96,38,58,0.34,14,buy
8/21,2330,新光,8560,36,100,-64,0.37,14,sell
8/21,2330,國票-敦北法人,0037003700390063,55,11,44,0.26,15,buy
8/21,2330,中國信託-高雄,003600310036004b,5,64,-59,0.34,15,sell
8/21,2317,美林,1440,1517,346,1171,4.66,1,buy
8/21,2317,永豐金-匯立,0039004100380031,75,6443,-6368,25.34,1,sell
8/21,2317,摩根大通,8440,1730,933,797,3.17,2,buy
8/21,2317,元大-松江,9801,5,2317,-2312,9.2,2,sell
8/21,2317,元大證券,9800,1629,993,636,2.53,3,buy
8/21,2317,台灣摩根士丹利,1470,404,1661,-1257,5.0,3,sell
8/21,2317,大和國泰,8890,620,0,620,2.47,4,buy
8/21,2317,法銀巴黎,8900,31,633,-602,2.4,4,sell
8/21,2317,新加坡商瑞銀,1650,3286,2688,598,2.38,5,buy
8/21,2317,中國信託-高雄,003600310036004b,12,573,-561,2.23,5,sell
8/21,2317,美商高盛,1480,1308,729,579,2.3,6,buy
8/21,2317,富邦證券,9600,505,760,-255,1.01,6,sell
8/21,2317,凱基-台北,9268,1095,721,374,1.49,7,buy
8/21,2317,永豐金-敦南,0039004100380046,12,141,-129,0.51,7,sell
8/21,2317,港商野村,1560,380,48,332,1.32,8,buy
8/21,2317,第一金,5380,10,102,-92,0.37,8,sell
8/21,2317,華南永昌-大甲,9315,196,0,196,0.78,9,buy
8/21,2317,國泰證券,8880,6,68,-62,0.25,9,sell
8/21,2317,花旗環球,1590,1437,1286,151,0.6,10,buy
8/21,2317,凱基-松山,9217,18,73,-55,0.22,10,sell
8/21,2317,國泰-敦南,8888,284,134,150,0.6,11,buy
8/21,2317,統一-台中,5856,23,76,-53,0.21,11,sell
8/21,2317,華南永昌,9300,162,37,125,0.5,12,buy
8/21,2317,元大-北屯,0039003800390064,20,65,-45,0.18,12,sell
8/21,2317,富邦-竹東,9625,98,13,85,0.34,13,buy
8/21,2317,元大-萬華,0039003800310071,8,50,-42,0.17,13,sell
8/21,2317,元大-板橋,0039003800390043,90,7,83,0.33,14,buy
8/21,2317,國泰-台中,8882,68,105,-37,0.15,14,sell
8/21,2317,國泰-桃園,8885,84,9,75,0.3,15,buy
8/21,2317,台新-台北,0039004200320030,10,41,-31,0.12,15,sell
8/21,2454,富邦證券,9600,1528,136,1392,23.15,1,buy
8/21,2454,摩根大通,8440,147,958,-811,13.49,1,sell
8/21,2454,元大證券,9800,645,216,429,7.14,2,buy
8/21,2454,港商野村,1560,34,412,-378,6.29,2,sell
8/21,2454,宏遠證券,1260,186,1,185,3.08,3,buy
8/21,2454,花旗環球,1590,131,293,-162,2.69,3,sell
8/21,2454,國泰證券,8880,104,10,94,1.56,4,buy
8/21,2454,台灣摩根士丹利,1470,245,405,-160,2.66,4,sell
8/21,2454,凱基,9200,91,36,55,0.91,5,buy
8/21,2454,凱基-台北,9268,293,369,-76,1.26,5,sell
8/21,2454,大和國泰,8890,75,45,30,0.5,6,buy
8/21,2454,美商高盛,1480,170,235,-65,1.08,6,sell
8/21,2454,國票-敦北法人,0037003700390063,22,2,20,0.33,7,buy
8/21,2454,永豐金-匯立,0039004100380031,16,79,-63,1.05,7,sell
8/21,2454,國票-安和,003700370039005a,23,6,17,0.28,8,buy
8/21,2454,美林,1440,121,178,-57,0.95,8,sell
8/21,2454,玉山-台南,8847,14,3,11,0.18,9,buy
8/21,2454,新加坡商瑞銀,1650,290,333,-43,0.72,9,sell
8/21,2454,康和-台南,8458,11,1,10,0.17,10,buy
8/21,2454,富邦-台南,9667,6,44,-38,0.63,10,sell
8/21,2454,中國信託,6160,15,5,10,0.17,11,buy
8/21,2454,富邦-建國,9658,5,28,-23,0.38,11,sell
8/21,2454,凱基-鳳山,9274,11,2,9,0.15,12,buy
8/21,2454,國泰-忠孝,8887,8,24,-16,0.27,12,sell
8/21,2454,永豐金-新莊,0039004100390048,10,1,9,0.15,13,buy
8/21,2454,玉山-高雄,8843,3,19,-16,0.27,13,sell
8/21,2454,國泰-板橋,003800380038004b,30,21,9,0.15,14,buy
8/21,2454,統一,5850,15,30,-15,0.25,14,sell
8/21,2454,富邦-台北,9623,31,24,7,0.12,15,buy
8/21,2454,元大-員林中山,9835,1,16,-15,0.25,15,sell
8/21,2308,美商高盛,1480,926,638,288,6.55,1,buy
8/21,2308,新加坡商瑞銀,1650,179,500,-321,7.3,1,sell
8/21,2308,花旗環球,1590,240,35,205,4.66,2,buy
8/21,2308,摩根大通,8440,87,260,-173,3.93,2,sell
8/21,2308,台灣摩根士丹利,1470,363,299,64,1.45,3,buy
8/21,2308,美林,1440,187,322,-135,3.07,3,sell
8/21,2308,大和國泰,8890,105,67,38,0.86,4,buy
8/21,2308,富邦證券,9600,52,146,-94,2.14,4,sell
