date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/17,2330,港商野村,1560,1428,82,1346,7.68,1,buy
9/17,2330,美商高盛,1480,838,1726,-888,5.07,1,sell
9/17,2330,永豐金-匯立,0039004100380031,959,69,890,5.08,2,buy
9/17,2330,摩根大通,8440,1199,1977,-778,4.44,2,sell
9/17,2330,美林,1440,1203,367,836,4.77,3,buy
9/17,2330,國泰-敦南,8888,84,296,-212,1.21,3,sell
9/17,2330,新加坡商瑞銀,1650,1603,928,675,3.85,4,buy
9/17,2330,元大-天母,0039003800310049,2,85,-83,0.47,4,sell
9/17,2330,元大證券,9800,1157,497,660,3.77,5,buy
9/17,2330,香港上海匯豐,8960,26,109,-83,0.47,5,sell
9/17,2330,凱基-台北,9268,777,245,532,3.04,6,buy
9/17,2330,港商麥格理,1360,193,272,-79,0.45,6,sell
9/17,2330,花旗環球,1590,1356,834,522,2.98,7,buy
9/17,2330,新光,8560,63,141,-78,0.45,7,sell
9/17,2330,富邦證券,9600,550,49,501,2.86,8,buy
9/17,2330,玉山證券,8840,9,85,-76,0.43,8,sell
9/17,2330,台灣摩根士丹利,1470,1931,1519,412,2.35,9,buy
9/17,2330,台新,0039004200300030,40,115,-75,0.43,9,sell
9/17,2330,大和國泰,8890,218,10,208,1.19,10,buy
9/17,2330,第一金-中山,5389,1,53,-52,0.3,10,sell
9/17,2330,統一,5850,166,16,150,0.86,11,buy
9/17,2330,玉山-台南,8847,12,61,-49,0.28,11,sell
9/17,2330,永豐金證券,0039004100300030,228,95,133,0.76,12,buy
9/17,2330,兆豐證券,7000,5,53,-48,0.27,12,sell
9/17,2330,凱基,9200,178,61,117,0.67,13,buy
9/17,2330,富邦-高雄,9659,5,52,-47,0.27,13,sell
9/17,2330,福邦證券,6480,101,0,101,0.58,14,buy
9/17,2330,永豐金-內湖,0039004100390067,4,49,-45,0.26,14,sell
9/17,2330,國泰證券,8880,110,20,90,0.51,15,buy
9/17,2330,富邦-台北,9623,10,52,-42,0.24,15,sell
9/17,2317,新加坡商瑞銀,1650,3493,158,3335,12.57,1,buy
9/17,2317,摩根大通,8440,2040,5098,-3058,11.53,1,sell
9/17,2317,美商高盛,1480,2866,270,2596,9.79,2,buy
9/17,2317,宏遠證券,1260,15,808,-793,2.99,2,sell
9/17,2317,港商野村,1560,1700,109,1591,6.0,3,buy
9/17,2317,國泰-敦南,8888,95,493,-398,1.5,3,sell
9/17,2317,美林,1440,1616,233,1383,5.21,4,buy
9/17,2317,國票-博愛,003700370039007a,4,205,-201,0.76,4,sell
9/17,2317,元大證券,9800,2007,718,1289,4.86,5,buy
9/17,2317,中國信託-高雄,003600310036004b,37,227,-190,0.72,5,sell
9/17,2317,台灣摩根士丹利,1470,1562,573,989,3.73,6,buy
9/17,2317,富邦-仁愛,9676,51,199,-148,0.56,6,sell
9/17,2317,富邦證券,9600,787,25,762,2.87,7,buy
9/17,2317,新光,8560,75,221,-146,0.55,7,sell
9/17,2317,台新,0039004200300030,617,173,444,1.67,8,buy
9/17,2317,凱基-台南,9211,7,149,-142,0.54,8,sell
9/17,2317,花旗環球,1590,1700,1297,403,1.52,9,buy
9/17,2317,國泰-台南,8884,43,167,-124,0.47,9,sell
9/17,2317,凱基-台北,9268,1246,844,402,1.52,10,buy
9/17,2317,永豐金-屏東,0039004100360039,1,118,-117,0.44,10,sell
9/17,2317,永豐金證券,0039004100300030,468,78,390,1.47,11,buy
9/17,2317,兆豐-大安,003700300030006a,4,112,-108,0.41,11,sell
